4.49948    14.2787
4.49528    14.2176
4.4869    14.096
4.47433    13.9149
4.4576    13.6759
4.43671    13.3811
4.4117    13.033
4.38257    12.6348
4.34937    12.1897
4.31212    11.7016
4.27086    11.1746
4.22564    10.6131
4.17649    10.0218
4.12346    9.40556
4.06662    8.76926
4.006    8.11802
3.94168    7.45692
3.87372    6.79105
3.80218    6.12544
3.72714    5.46499
3.64866    4.81448
3.56683    4.17846
3.48173    3.56127
3.39343    2.967
3.30204    2.39943
3.20763    1.86202
3.1103    1.35792
3.01015    0.889897
2.90728    0.460388
2.80179    0.0714429
2.69377    -0.275258
2.58335    -0.578395
2.47062    -0.837022
2.3557    -1.05054
2.2387    -1.2187
2.11974    -1.34158
1.99894    -1.41956
1.8764    -1.45331
1.75227    -1.44378
1.62665    -1.39217
1.49967    -1.29989
1.37146    -1.16855
1.24214    -0.999941
1.11185    -0.796004
0.980699    -0.5588
0.84883    -0.290492
0.716371    0.00667588
0.583451    0.330407
0.450202    0.678369
0.316756    1.04821
0.183244    1.43759
0.0497978    1.84419
-0.0834508    2.26571
-0.216371    2.69992
-0.34883    3.14464
-0.480699    3.59777
-0.611846    4.05728
-0.742143    4.52124
-0.87146    4.98782
-0.999672    5.45527
-1.12665    5.92196
-1.25227    6.38636
-1.3764    6.84706
-1.49894    7.30274
-1.61974    7.75219
-1.7387    8.19432
-1.8557    8.62812
-1.97062    9.0527
-2.08335    9.46724
-2.19377    9.87105
-2.30179    10.2635
-2.40728    10.644
-2.51015    11.0122
-2.6103    11.3677
-2.70763    11.71
-2.80204    12.039
-2.89343    12.3545
-2.98173    12.6563
-3.06683    12.9444
-3.14866    13.2185
-3.22714    13.4789
-3.30218    13.7253
-3.37372    13.9579
-3.44168    14.1768
-3.506    14.3819
-3.56662    14.5735
-3.62346    14.7515
-3.67649    14.9162
-3.72564    15.0677
-3.77086    15.2059
-3.81212    15.3312
-3.84937    15.4436
-3.88257    15.5431
-3.9117    15.63
-3.93671    15.7043
-3.9576    15.766
-3.97433    15.8154
-3.9869    15.8523
-3.99528    15.8769
-3.99948    15.8892
